dataset,num_tasks,run_id,reps,shots,final_shots,balance_penalty_multiplier,balance_penalty_actual,makespan_penalty_multiplier,priority_bias,optimizer,restarts,backend,seed,classical_method,qaoa_makespan,topk_makespan,min_makespan_in_samples,classical_makespan,relative_gap_pct,topk_gap_pct,best_sample_gap_pct,output_path
dataset_20.csv,20,0,2,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,186.0,145.0,141.0,141.0,31.914893617021278,2.8368794326241136,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r2_shots8192_results_medium_p2_run0_results.json
dataset_20.csv,20,1,2,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,187.0,156.0,141.0,141.0,32.6241134751773,10.638297872340425,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r2_shots8192_results_medium_p2_run1_results.json
dataset_20.csv,20,2,2,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,189.0,162.0,141.0,141.0,34.04255319148936,14.893617021276595,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r2_shots8192_results_medium_p2_run2_results.json
dataset_20.csv,20,3,2,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,185.0,141.0,141.0,141.0,31.20567375886525,0.0,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r2_shots8192_results_medium_p2_run3_results.json
dataset_20.csv,20,4,2,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,188.0,177.0,141.0,141.0,33.333333333333336,25.53191489361702,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r2_shots8192_results_medium_p2_run4_results.json
dataset_20.csv,20,0,4,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,188.0,141.0,141.0,141.0,33.333333333333336,0.0,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r4_shots8192_results_deep_p4_run0_results.json
dataset_20.csv,20,1,4,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,187.0,147.0,141.0,141.0,32.6241134751773,4.25531914893617,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r4_shots8192_results_deep_p4_run1_results.json
dataset_20.csv,20,2,4,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,188.0,154.0,141.0,141.0,33.333333333333336,9.21985815602837,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r4_shots8192_results_deep_p4_run2_results.json
dataset_20.csv,20,3,4,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,186.0,141.0,141.0,141.0,31.914893617021278,0.0,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r4_shots8192_results_deep_p4_run3_results.json
dataset_20.csv,20,4,4,1024,8192,10.0,10.0,40.0,0.1,cobyla,5,aer,,ilp,189.0,146.0,141.0,141.0,34.04255319148936,3.5460992907801416,0.0,/Users/ilaydadilek/PycharmProjects/CloudTaskScheduling/results/dataset_20_r4_shots8192_results_deep_p4_run4_results.json
